Time,Down,Type,Yards,Details,BC,Edmonton
15:00,0,Kickoff,40,Hugh O'Neill kicks off to the Edm11. Hugh Charles return for 40 yards to Edm51. Tackled by Ryan Phillips.,0,0
14:52,1,Sack,-1,Sack at Edm50 for a loss of 1 yard by Keron Williams.,0,0
14:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by Anton McKenzie.,0,0
14:01,3,Punt,1,Grant Shaw punts for 38 yards to BC22. Korey Williams return for 1 yard to BC23. Tackled by Rennie Curran.,0,0
13:41,1,Rush,7,Andrew Harris rush for 7 yards to the BC30. Tackled by Don Oramasionwu.,0,0
13:05,2,Rush,2,Andrew Harris rush for 2 yards to the BC32. Tackled by T.J. Hill.,0,0
12:32,3,Punt,0,Hugh O'Neill punts for 47 yards to Edm31. No return.,0,0
12:18,1,Rush,6,Hugh Charles rush for 6 yards to the Edm37. Tackled by J.R. LaRose.,0,0
11:41,2,Rush,-2,Hugh Charles rush for a loss of 2 yards to the Edm35. Tackled by Solomon Elimimian.,0,0
11:13,3,Punt,2,Grant Shaw punts for 33 yards to BC42. Korey Williams return for 2 yards to BC44. Tackled by Elie Ngoyi.,0,0
10:48,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,0,0
10:30,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,0,0
10:09,2,Pass,14,Travis Lulay pass to Paris Jackson for 14 yards to the BC53. Tackled by Donovan Alexander.,0,0
09:22,3,Rush,-1,Thomas DeMarco rush for a loss of 1 yard to the BC52. Tackled by J.C. Sherritt.,0,0
08:49,1,Pass,7,Mike Reilly pass to Marcus Henry for 7 yards to the BC45. Tackled by Solomon Elimimian.,0,0
08:11,2,Time Count,-5,Penalty: Time Count on Edmonton (Kerry Joseph) -5 yards.,0,0
07:56,2,Pass,7,Mike Reilly pass to Cary Koch for 7 yards to the BC43. Tackled by Josh Bell.,0,0
07:27,3,Rush,3,Kerry Joseph rush for 3 yards to the BC40. Tackled by Dante Marsh.,0,0
06:46,1,Rush,8,Hugh Charles rush for 8 yards to the BC32. Tackled by Anton McKenzie.,0,0
06:00,2,Rush,2,Hugh Charles rush for 2 yards to the BC30. Tackled by Josh Bell.,0,0
05:10,1,Rush,4,Hugh Charles rush for 4 yards to the BC26. Tackled by Khreem Smith.,0,0
04:46,2,Pass,2,Mike Reilly pass to Cary Koch for 2 yards to the BC24. Tackled by J.R. LaRose.,0,0
03:58,3,Missed Field Goal,32,Grant Shaw 32 yard field goal attempt is GOOD.,0,3
03:58,0,Illegal Block,-2,Grant Shaw kicks off to the BC16. Korey Williams return for 8 yards to BC24. Penalty: Illegal Block on BC (Solomon Elimimian) -10 yards.,0,3
03:54,1,Pass,8,Travis Lulay pass to Paris Jackson for 8 yards to the BC22. Tackled by J.C. Sherritt.,0,3
03:05,2,Rush,2,Andrew Harris rush for 2 yards to the BC24. Tackled by T.J. Hill.,0,3
02:33,0,Fumble,9,", recovered by BC (Aaron Grymes). Hugh O'Neill punts for 36 yards to Edm50. Joe Burnett return for 9 yards to BC51. FUMBLE",0,3
02:17,1,Pass,4,Mike Reilly pass to Cary Koch for 4 yards to the BC47. Tackled by Korey Banks.,0,3
01:45,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,0,3
01:31,3,Punt,14,Grant Shaw punts for 37 yards to BC10. Korey Williams return for 14 yards to BC24. Tackled by Mike Cornell.,0,3
01:10,1,Rush,8,Marco Iannuzzi rush for 8 yards to the BC32. Tackled by Donovan Alexander.,0,3
00:45,2,Rush,3,Andrew Harris rush for 3 yards to the BC35. Tackled by Almondo Sewell.,0,3
00:01,1,Rush,4,Andrew Harris rush for 4 yards to the BC39. Tackled by Damaso Munoz.,0,3
15:00,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,3
14:40,2,Rush,4,Andrew Harris rush for 4 yards to the BC48. Tackled by J.C. Sherritt.,0,3
13:54,1,Rush,14,Travis Lulay rush for 14 yards to the Edm48. Tackled by J.C. Sherritt.,0,3
13:16,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,3
12:54,2,Fumble,-5,"Travis Lulay pass to Andrew Harris for a loss of 5 yards to the Edm53. FUMBLE, recovered by BC (Andrew Harris).",0,3
12:14,3,Punt,9,Hugh O'Neill punts for 46 yards to Edm7. Cary Koch return for 9 yards to Edm16. Tackled by Jason Arakgi.,0,3
12:04,1,Pass,-1,Mike Reilly pass to Cary Koch for a loss of 1 yard to the Edm15. Tackled by Josh Bell.,0,3
11:26,2,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Edm25. Tackled by Cord Parks.,0,3
10:53,3,No Yards,23,Grant Shaw punts for 38 yards to BC47. Penalty: No Yards on Edmonton (Eric Samuels) -15 yards.,0,3
10:11,1,Rush,4,Andrew Harris rush for 4 yards to the Edm44. Tackled by Damaso Munoz.,0,3
09:38,2,Sack,-8,Sack at Edm52 for a loss of 8 yards by Almondo Sewell.,0,3
09:10,3,Punt,0,Hugh O'Neill punts for 26 yards to Edm26. No return.,0,3
08:51,1,Rush,9,Hugh Charles rush for 9 yards to the Edm35. Tackled by Solomon Elimimian.,0,3
08:25,2,Rush,6,Hugh Charles rush for 6 yards to the Edm41. Tackled by Cord Parks.,0,3
07:55,1,Rush,0,Hugh Charles rush for no gain to the Edm41. Tackled by Korey Banks.,0,3
07:14,2,Pass,11,Mike Reilly pass to Cary Koch for 11 yards to the Edm52. Tackled by Anton McKenzie.,0,3
06:32,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Thaddeus Coleman) -5 yards.,0,3
06:11,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Cary Koch.,0,3
05:53,2,Rush,3,Mike Reilly rush for 3 yards to the Edm50. Tackled by Solomon Elimimian.,0,3
05:18,3,Punt,5,Grant Shaw punts for 35 yards to BC25. Korey Williams return for 5 yards to BC30. Tackled by Justin Capicciotti.,0,3
05:03,1,Rush,8,Travis Lulay rush for 8 yards to the BC38. Tackled by T.J. Hill.,0,3
04:15,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris defensed by Odell Willis.,0,3
04:01,0,Blocked Punt,-5,FUMBLE Punt blocked by Rennie Curran.  Recovered by BC (Rolly Lumbala),0,3
03:49,1,Rush,-1,Hugh Charles rush for a loss of 1 yard to the BC34. Tackled by Khreem Smith.,0,3
03:04,2,Objectionable Conduct,-1,Mike Reilly pass to Calvin McCarty for 9 yards to the BC25. Tackled by Korey Banks. Penalty: Objectionable Conduct on Edmonton (Calvin McCarty) -10 yards.,0,3
02:46,3,Fumble,-12,FUMBLE Recovered by Edm (Kerry Joseph),0,3
02:32,1,Rush,3,Andrew Harris rush for 3 yards to the BC50. Tackled by Damaso Munoz.,0,3
02:26,2,Pass,22,Travis Lulay pass to Andrew Harris for 22 yards to the Edm38. Tackled by Chris Thompson.,0,3
01:55,0,Fumble,-1,"FUMBLE, recovered by BC (Travis Lulay).",0,3
01:20,2,Rush,21,Travis Lulay rush for 21 yards to the Edm18. Tackled by Brandon Lang.,0,3
01:19,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor defensed by Almondo Sewell.,0,3
01:10,2,Sack,-5,Sack at Edm23 for a loss of 5 yards by Ted Laurent.,0,3
00:40,3,Punt Single,0,Hugh O'Neill punts for 28 yards to Edm0. No return (Single).,1,3
15:00,0,Kickoff,19,Grant Shaw kicks off to the BC11. Korey Williams return for 19 yards to BC30. Tackled by Rennie Curran.,1,3
14:50,1,Pass,7,Travis Lulay pass to Nick Moore for 7 yards to the BC37. Tackled by Joe Burnett.,1,3
14:08,2,Rush,9,Andrew Harris rush for 9 yards to the BC46. Tackled by Damaso Munoz.,1,3
13:37,1,Pass,17,Travis Lulay pass to Marco Iannuzzi for 17 yards to the Edm47. Tackled by Donovan Alexander.,1,3
12:20,1,Pass,18,Travis Lulay pass to Nick Moore for 18 yards to the Edm29. Tackled by Damaso Munoz.,1,3
11:35,1,Rush,10,Travis Lulay rush for 10 yards to the Edm19. Tackled by J.C. Sherritt.,1,3
10:57,1,Rush,7,Travis Lulay rush for 7 yards to the Edm12.,1,3
10:25,2,Pass,12,Travis Lulay pass to Emmanuel Arceneaux for 12 yards for a TOUCHDOWN.,7,3
10:12,0,Made Extra Point,0,Hugh O'Neill extra point is good.,8,3
10:12,0,Kickoff OOB,30,Hugh O'Neill kicks off to the Edm1. Penalty: Kickoff OOB on BC (Hugh O'Neill) -44 yards.,8,3
10:09,1,Pass,2,Mike Reilly pass to Isaiah Sweeney for 2 yards to the Edm47. Tackled by Cord Parks.,8,3
09:31,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Isaiah Sweeney.,8,3
09:08,3,Unnecessary Roughness,20,Grant Shaw punts for 48 yards to BC15. Korey Williams return for 5 yards to BC20. Tackled by Mike Cornell. Penalty: Unnecessary Roughness on Edmonton (Mike Miller) 15 yards.,8,3
08:44,1,Rush,5,Andrew Harris rush for 5 yards to the BC40. Tackled by Brandon Lang.,8,3
08:04,0,Roughing Passer,15,Penalty: Roughing Passer on Edmonton (J.C. Sherritt) 15 yards.,8,3
07:42,1,Rush,8,Travis Lulay rush for 8 yards to the Edm47. Tackled by Damaso Munoz.,8,3
07:14,2,Rush,3,Andrew Harris rush for 3 yards to the Edm44. Tackled by Aaron Grymes.,8,3
06:34,1,Rush,12,Marco Iannuzzi rush for 12 yards to the Edm32. Tackled by Damaso Munoz.,8,3
06:08,1,Rush,9,Travis Lulay rush for 9 yards to the Edm23. Tackled by J.C. Sherritt.,8,3
05:33,2,Rush,7,Andrew Harris rush for 7 yards to the Edm16. Tackled by J.C. Sherritt.,8,3
04:09,2,Pass,16,Travis Lulay pass to Andrew Harris for 16 yards for a TOUCHDOWN.,14,3
03:52,0,Made Extra Point,0,Hugh O'Neill extra point is good.,15,3
03:52,0,Kickoff,21,Hugh O'Neill kicks off to the Edm18. Hugh Charles return for 21 yards to Edm39. Tackled by Emmanuel Arceneaux.,15,3
03:45,1,Rush,11,John White rush for 11 yards to the Edm50. Tackled by Ryan Phillips.,15,3
03:11,1,Rush,-10,John White rush for a loss of 10 yards to the Edm40. Tackled by Khreem Smith.,15,3
02:15,2,Rush,13,Mike Reilly rush for 13 yards to the Edm53. Tackled by Korey Banks.,15,3
01:59,3,Punt,2,Grant Shaw punts for 45 yards to BC12. Korey Williams return for 2 yards to BC14. Tackled by Mike Miller.,15,3
01:37,1,Rush,29,Rolly Lumbala rush for 29 yards to the BC43. Tackled by Joe Burnett.,15,3
00:57,1,Illegal Forward Pass,3,Travis Lulay pass to Andrew Harris for 13 yards to the Edm54. Penalty: Illegal Forward Pass on BC (Travis Lulay) -10 yards.,15,3
00:32,1,Pass,-3,Travis Lulay pass to Andrew Harris for a loss of 3 yards to the BC30. Tackled by Damaso Munoz.,15,3
00:01,2,Pass,41,Travis Lulay pass to Emmanuel Arceneaux for 41 yards to the Edm39. Tackled by Aaron Grymes.,15,3
15:00,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the Edm41. Tackled by J.C. Sherritt.,15,3
14:26,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,15,3
14:00,3,Punt,5,Hugh O'Neill punts for 35 yards to Edm6. Joe Burnett return for 5 yards to Edm11. Tackled by Matt McGarva.,15,3
13:39,1,Rush,10,Mike Reilly rush for 10 yards to the Edm21. Tackled by Anton McKenzie.,15,3
12:50,2,Rush,2,Kerry Joseph rush for 2 yards to the Edm23. Tackled by Dante Marsh.,15,3
12:17,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,15,3
11:50,2,Pass,18,Mike Reilly pass to Matt Carter for 18 yards to the Edm41. Tackled by Ryan Phillips.,15,3
11:06,1,Rush,4,Hugh Charles rush for 4 yards to the Edm45. Tackled by Solomon Elimimian.,15,3
10:20,2,Pass,3,Mike Reilly pass to Nate Coehoorn for 3 yards to the Edm49. Tackled by Cord Parks.,15,3
09:57,3,Punt,9,Grant Shaw punts for 41 yards to BC20. Korey Williams return for 9 yards to BC29. Tackled by Mike Cornell.,15,3
09:28,1,Rush,3,Andrew Harris rush for 3 yards to the BC32. Tackled by Chris Thompson.,15,3
08:53,2,Pass,11,Travis Lulay pass to Marco Iannuzzi for 11 yards to the BC43. Tackled by Joe Burnett.,15,3
08:09,1,Rush,12,Andrew Harris rush for 12 yards to the BC55. Tackled by Damaso Munoz.,15,3
07:15,1,Rush,3,Andrew Harris rush for 3 yards to the Edm52. Tackled by Don Oramasionwu.,15,3
06:39,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Aaron Grymes.,15,3
06:21,3,Holding,-2,Hugh O'Neill punts for 41 yards to Edm11. Cary Koch return for 7 yards to Edm18. Penalty: Holding on Edmonton (Chris Rwabukamba) -9 yards.,15,3
06:07,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,15,3
05:48,2,Offside,-4,Penalty: Offside on Edmonton (Matt Carter) -4 yards.,15,3
05:15,2,Rush,8,Mike Reilly rush for 8 yards to the Edm13. Tackled by Keron Williams.,15,3
04:44,3,Safety,-13,Safety,17,3
04:44,1,Rush,-3,Emmanuel Arceneaux rush for a loss of 3 yards to the BC32. Tackled by Damaso Munoz.,17,3
04:05,2,Rush,3,Travis Lulay rush for 3 yards to the BC35. Tackled by Don Oramasionwu.,17,3
03:26,3,Punt,17,Hugh O'Neill punts for 32 yards to Edm43. Joe Burnett return for 17 yards to BC50. Tackled by Matt McGarva.,17,3
02:59,1,Pass,10,Mike Reilly pass to Matt Carter for 10 yards to the BC40. Tackled by Cord Parks.,17,3
02:39,2,Rush,2,John White rush for 2 yards to the BC38. Tackled by Khreem Smith.,17,3
02:32,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,17,3
02:22,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,17,3
02:22,2,Rush,3,Mike Reilly rush for 3 yards to the BC40. Tackled by Solomon Elimimian.,17,3
02:13,3,Holding,9,Mike Reilly pass INTERCEPTED by Cord Parks and returned for 19 yards. Tackled by Cliff Louis. Penalty: Holding on BC (Korey Banks) -10 yards.,17,3
01:58,1,Rush,1,Andrew Harris rush for 1 yard to the BC23. Tackled by J.C. Sherritt.,17,3
01:35,2,Rush,2,Travis Lulay rush for 2 yards to the BC25. Tackled by T.J. Hill.,17,3
01:26,3,Punt,9,Hugh O'Neill punts for 49 yards to Edm36. Joe Burnett return for 9 yards to Edm45. Tackled by Kyle Jones.,17,3
00:59,1,Sack,-3,Sack at Edm42 for a loss of 3 yards by Brandon Jordan.,17,3
00:50,2,Pass,15,Mike Reilly pass to Nate Coehoorn for 15 yards to the BC53. Tackled by Solomon Elimimian.,17,3
00:39,1,Unnecessary Roughness,-15,Mike Reilly incomplete pass intended for Nate Coehoorn. Penalty: Unnecessary Roughness on Edmonton (Cliff Louis) -15 yards.,17,3
00:30,2,Sack,-1,Sack at Edm41 for a loss of 1 yard by Julius Williams.,17,3
00:01,3,Incomplete Pass,0,Mike Reilly incomplete pass intended for Matt Carter defensed by Ryan Phillips.,17,3
